;语言文件格式为: 名称|中文|英文，竖线分割，逗号与分号为注释，///为换行，空行自动忽略
;Language file format: Name|Chinese|English，vertical is delimiter， comma or semicolon is Comments，///is newline，Empty lines automatically ignored
 
lang_Main_Title|USR-M0|USR-M0
lang_Main_AppTitle|USR-M0|USR-M0
lang_Menu_File|文件|File
lang_Menu_Pswd|用户名密码设置|User config
lang_Menu_ExpDev|导出设备列表|Export Devices
lang_Menu_Quit|退出|Quit
lang_Menu_Lang|Language|Language
lang_Menu_Cn|简体中文|简体中文
lang_Menu_En|English|English
lang_Menu_Diy|DiyLang|DiyLang
lang_Menu_Help|帮助|Help
lang_Menu_About|关于...|About...
lang_Menu_Hint|实时帮助|Real-time Help
lang_Menu_Version|检查更新|Latest version
lang_Menu_WorkOrder|提交问题|Work Order
lang_Menu_DownUrl|https://www.usr.cn/Download/257.html|http://www.usriot.com/Download/237.html
lang_Lv_DevIP|设备IP|Device IP
lang_Lv_DevName|设备名称|Device Name
lang_Lv_MAC|MAC地址|MAC
lang_Lv_Version|版本|Version
lang_lblKNum|请选择设备型号|Select Model Type
lang_lbl_SelectCom|请选择串口|Select serial port
lang_NoCom|没有串口|No serial port
lang_mni_CopeAllMac|复制所有MAC|Cope All Mac
lang_mni_CopyTheMac|复制选中MAC|Copy The Mac
lang_mni_FirmwareUp|固件升级|Firmware upgrade
lang_mni_OpenWeb|打开网页|OpenWeb
lang_mni_Reset|恢复出厂设置|Reset
lang_mni_Restart|重启设备|Restart
lang_btn_Search|搜索设备|Search Device
lang_btn_ComSet|保存参数|Save Config
lang_btn_ComRead|读取参数|Read Config
lang_rztbsht_Net|通过网络操作|Operate Via LAN
lang_rztbsht_Com|通过串口操作|Operate Via COM
lang_rztbsht_Log|操作日志|Operation Log
lang_rztbsht_Hex|数据流|Hex Streams
lang_grp_Param|常规功能|General functions
lang_grp_Special|扩展功能|Expand functions
lang_grp_BaseSave|基础设置 (不带*的一般保持默认)|Base Param (which is without *,usually keep default)
lang_grp_ComParam|端口设置|Port Param
lang_InputBdTitle|自定义波特率|Diy Baud Rate
lang_PlsInputBd|请输入波特率：|Please Input your Baud Rate :
lang_BaudRate_Custom|自定义|Custom
lang_Lbl_UPNPPort|UPNP端口|UPNP Port
lang_Lbl_HTTPPort|HTTP服务端口|HTTP Port
lang_Lbl_DevID|设备ID|Device ID
lang_Lbl_DevIDType|设备ID类型|Device ID Type
lang_Lbl_UserName|用户名|User Name
lang_Lbl_Password|密码|Password
lang_Lbl_DevName|设备名称|Device Name
lang_Lbl_MAC|用户MAC地址|User MAC
lang_Lbl_IPType|IP地址类型|IP Type
lang_Lbl_StaticIP|模块静态IP|ModuleStaticIP
lang_Lbl_Gateway|网关|Gateway
lang_Lbl_SubnetMask|子网掩码|SubnetMask
lang_Lbl_Baudrate|串口波特率|Baudrate
lang_Lbl_PDS|校验/数据/停止|Parity/Data/Stop
lang_Lbl_FlowControl|串口流控制|FlowControl
lang_Lbl_LocalPort|本地端口|Local Port
lang_Lbl_RemotePort|远程端口|Remote Port
lang_Lbl_WorkMode|模块工作方式|Module work mode
lang_Lbl_TCPSvrCount|TCP Server 连接数|Tcp connect num
lang_Lbl_TCPStyle|TCP Server 样式|TCP Server style
lang_Lbl_ModbusTCP|ModbusTCP|ModbusTCP
lang_Lbl_RemoteIP|目标IP/域名|RemoteIP
lang_Lbl_TelnetTimeout|网络重连时间|Telnet Timeout
lang_Lbl_PackTime|串口打包时间|PackTime
lang_Lbl_PackLen|串口打包长度|PackLen
lang_Chkbox_RFC22170|同步波特率(类RFC2217)|Synchronize baudrate(RFC2217 similar)
lang_Lbl_InfoTimeOut|秒     (<256, 0为不使用)|s  (<256, 0 for no uses)
lang_Lbl_InfoPackTime|毫秒 (0~255)|ms (0~255)
lang_Lbl_InfoPackLen|字节 (0~1023)|byte (0~1023)
lang_Cbb_DHCP|DHCP/动态IP|DHCP/Auto IP
lang_Cbb_StaticIP|静态IP|Static IP
lang_Cbb_Transparent|透明传输|Transparent transmission
lang_Cbb_NoIDDiscard|按ID发送-无ID则丢弃|As ID(No ID discard)
lang_Cbb_NoIDBroadcast|按ID发送-无ID则群发|As ID(No ID Broadcast)
lang_lblDns|DNS地址|DNS Address
lang_LabeledEditShortTime|短连接时间|Short Connection time
lang_RzCheckBoxShortEnable|开启短连接|Short Connection
lang_rzchckbxComSetEnable|串口设置参数|UART Set Parameter
lang_LabeledEdit1|超时重启时间(秒)|Reset Timeout(s)
lang_RzCheckBox2|清除缓存数据|Clear Buffer Data Before Connected
lang_RzCheckBox1|TCP Server-踢掉旧连接|TCP Server-kick off old connection
lang_rzchbUdpFrom|UDP数据来源判断|UDP data source judgment
lang_chkMulticast|组播|Multicast
lang_lblGetPost|Httpd 选项|Httpd Chose
lang_RzCheckBox3|移除Httpd包头|Remove Httpd Head
lang_RzLabel1|心跳包使能|Heartbeat Packet Type
lang_lblHeartTm|心跳时间(s)|Heartbeat Time(s)
lang_lblHeartPackType|心跳包类型|Heartbeat Type
lang_lblHeartDt|自定义心跳包|Heartbeat Packet
lang_RzGroupBoxHeart|心跳包|Heartbeat
lang_rzgrpbxRegHeart|注册包|Register
lang_RzLabel2|注册包类型|Register Packet Type
lang_lblDid|设备编号|DeviceId
lang_lblCompass|通讯密码|Communication Code
lang_lblRegSnd|注册包位置|Registered Direction
lang_lblRegTp|自定义注册包|User Register Packet
lang_cbbRegType_1|数据携带|Data With
lang_cbbRegType_0|连接发送|Connect With
lang_cbbRegType_2|连接与携带|Connect And Data With
lang_RzComboBox1_0|心跳包关闭|None
lang_RzComboBox1_1|串口心跳包|Uart Heartbeat 
lang_RzComboBox1_2|网络心跳包|Net Heartbeat
lang_cbbHeartPackType_0|MAC心跳包|MAC As Heart
lang_cbbHeartPackType_1|自定义心跳包|USER Heart
lang_RzComboBox2_0|注册包关闭|None
lang_RzComboBox2_1|MAC注册包|MAC As Register
lang_RzComboBox2_2|自定义注册包|USER Register
lang_RzComboBox2_3|启用有人云|Enable USR Cloud
lang_lblModbusEn|Modbus使能|Modbus Type
lang_cbbModbusType_0|Modbus关闭|None
lang_cbbModbusType_1|Modbus TCP/RTU转换|Modbus TCP/RTU
lang_cbbModbusType_2|ModbusRTU轮询|ModbusRTU poll
lang_lblReportProto|上报协议|Report Protocol
lang_cbbReporproto_1|透传|Transparent
lang_lblModbusTimeout|Modbus轮询超时|Poll Timeout
lang_lblModbusInterval|Modbus轮询间隔|Poll Interval
lang_lblModbusException|Modbus异常响应|Exception Response
lang_cbbModbusException_0|关闭|Close
lang_cbbModbusException_1|开启|Open
lang_rzchckbxmodbuspool|ModbusTCP轮询|ModbusTCP poll
lang_lblhearttime|轮询时间(ms)|Poll Timeout(ms)
lang_lblModbusEnable1|Modbus使能|Modbus Type
lang_cmbModbusEnable1_0|Modbus关闭|None
lang_cmbModbusEnable1_1|Modbus TCP/RTU转换|Modbus TCP/RTU
lang_cmbModbusEnable1_2|Modbus多主机轮询|Modbus Multi-Master Poll
lang_cmbModbusEnable1_3|Modbus轮询加协议转换|Modbus poll plus Protocol conver
lang_lblModbusTimeout1|Modbus轮询超时|Poll Timeout
lang_lblModbusInterval1|Modbus轮询间隔|Poll Interval
lang_lblModbusException1|Modbus异常响应|Exception Response
lang_cmbModbusException1_0|关闭|Close
lang_cmbModbusException1_1|开启|Open
lang_lbl_ModuleIP|本模块IP地址|Module IP
lang_lbl_DeIP|连接目标IP|Destination IP
lang_chk_ConnSendId|建立连接后发送ID号|Send device ID when connected
lang_chk_DataWithId|发送数据时携带ID号|Send data with device ID
lang_H_btn_Search|搜索局域网内的设备,需要将CFG引脚悬空|Search device in LAN, please leave CFG pin free
lang_H_btn_ComRead|通过串口读取设备配置,需要将CFG引脚接地|Read device param via COM, please connect CFG to GND
